 @grishin памагитиии!	 помог
 добавьте в план выкатки "пересобрать шаблоны".	 добавил
 добавьте в план выкатки "пересобрать шаблоны".	 а это теперь зачем? если при перерендере карта будет приходить в <code> ширины контейнера карты.
 добавьте в план выкатки "пересобрать шаблоны".	 <code> срабатывает с задержкой, и на секунду вылазит за границу
 у хелпера есть метод <code>	 тогда контейнеру не нужно будет следить за постоянными изменениями карты , что бы подстроиться. я говорю о <code>
 👏	 🤟
 таки это тестовый сплит) явно в папку такое уносить, в особенности с учётом конфликта имён в текущем контексте	 нормальный тестовый сплит, не тест сплита, а тестовый а/б сплит
 вы шо творите ироды 🤭	 заелал, давай конкретней2 минутное погружение в проблему, тебе бы позволило не вот такую х-ню писать, а нормально уточнить или предложить другое решение 🤬
 нам никто не запрещал добавлять неиспользуемые переменные?)	 кстати да, почему линт не заорал? исправлю
 нам никто не запрещал добавлять неиспользуемые переменные?)	 ![image]<link>
 откуда error, из uuid? 😕	 ага, это коммон практика из sql мира)) по не функциональному требованию, этот код не должен влиять на прохождение запроса, вот упало что-то упало в нем crypto-хуипто и написало в лог нам)
 тут можно не поправлять, но на будущее - для такого есть <code>	 ну тема халеворная, но если прям договариваемся только так делать и тянуть везде bluebird.tocb - то ок, переделаю, записал в тех долг
 👌	 не, серьёзно, test чего?
 👌	 >про ff тут не принимается, я по дурной инициативе приребейзил соседний задачу, а отребейзить сложна(
 бест оф тзе бест практис (с)	 про ff тут не принимается, я по дурной инициативе приребейзил соседний задачу, а отребейзить сложна(
 это вот зачем тут если оно не в di	 сейчас не в di, завтра в di, цель то сделать билинговывй абсплит в сентябре)
 так оно test или не test? -_-	 ты же видишь что тест
 <code> забыл	 исправил
 ну такое. вообще у них разные причины изменения.	 норм, если мешать будет - разнесем (но я не уверен разнесем, оно внутри спрятано все равно)
 надо убрать, а. то не ukit-way	 убрал
 <code>	 кусок старый, поясни плиз не понял, пока закрою
 @kbubyakin чё зависло то?🤨	 ой
 что это такое? фитчфлаг в абтесте?)	 это кука :d на самом деле это роут тарифов для главной, где есть кейс что у нас вообще нет инфы о пользователи
 этот и похожий комментарий для fb можно удалить. условие понятное.	 удалил
 для новых файлов добавляем<code>	 =(
 этот код запускается вообще?)	 поправил :d
 promise.reject(new error...?	 тоже поправил
 _.random? 🤨	 поправил
 ну и вообще по идее это не должно лежать в модели сайта, зачем оно тут? исходя из того что потом могут попросить привязать ключ к сайту?	 сделал чтобы ключ лежал аналогично с яндексом и обычным гуглом. и да, возможно потом этот тип карт будет привязан к биллингу гугла.
 это шо? о_о	 сам в шоке  оно запускается?
 это шо? о_о	 типа, ну... я переместил  <code> ;^)поэтому
 поле <code>?	 предлагаю не разводить гусей, я завтра к вам в 12 приду и вы всей командой расскажете мне про логированние и политику партии
 поле <code>?	 тогда мы с тобой сядем завтра и поправим это
 поле <code>?	 в смысле, это, я поправил :   <code>  -- хотя последнее было уже не обязательноно что ты ещё хочешь я так и не понял
 поле <code>?	 я хочу точно прояснить, что от вас как разработчиков нужно, чтобы ира смогла увидеть в статистике плоды вашего труда. судя по всему, у вас нет чёткого виденья. вот я приду и мы вместе проясним
 поле <code>?	 суть была в том, что бы не сохранять это в пользователя вообще ни в каком виде, а тебе для статистки отдать данные логом
 а если там <code> и зачем сохранять value ниже, если вы уверены что там undefined.	 у виджета не меняется id. value ниже сохраняется для всех полей кроме id. даже если undefined - зачем то же передали так
 @grishin @amovsunov @andrew_kuzmenko @kbubyakin @glebazarov	 залепили (с) стало лучше (с)
 <code> и им теперь не воспользовались?)	 она про тарифы , насколько я понял. и для яндекс промокода поэтому прокинули флаг из конфига.
 <code> и им теперь не воспользовались?)	 <code> был сделан как хелпер для рендера списка фич тариффов, но не для использования в местах где рендер какого-то блока идёт в зависимости от конкретного флага.её тут использовать не корректно.
 <code> и им теперь не воспользовались?)	 да-да это другие фичи, не те фичи, которые те😂
 тесты чет не помогли))	 ну это ж unit)
 воу воу, что это? тут прям кишки повылазили! окончательную идею расскажи плиз	 вытащить создание инвойсов в api. то есть мы приходим в api, нам отдаются url'ы форм оплаты и мы их уже "где-то там" оплачиваем.
 воу воу, что это? тут прям кишки повылазили! окончательную идею расскажи плиз	 йеп, это копипаста с роута оплаты тарифа в дашборде, но на то это и poc. вообще я поковырявшись в билинге склоняюсь к тому что прочистка билинга нам нужна больше tpl 😅
 эту строку и похожие можно удалить. <code>.	 мы проверяем сначало что <code>) на то, что оно является массивом. но проверка все равно не корректная. сейчас исправлю.
 а почему здесь раньше это было?	 это было раньше, потому что устанавливались у виджетов паддинги в <code>. сейчас их нет.
 @amovsunov @grishin @andrew_kuzmenko @kbubyakin @glebazarov	 ооо, лайк за semantic commit messages, дава тогда таску по их правилу писать в конце)) <link>
 404 при ошибки валидации смонительно.	 это не ввод пользователем данных, а в целом попытка открыть в конвертере несуществующий сайт, поэтому можно считать некорректным адресом
 404 при ошибки валидации смонительно.	 и тут явно нужен <code>
 404 при ошибки валидации смонительно.	 он там и есть)
 404 при ошибки валидации смонительно.	 ![image]<link>тут нужно сделать <code> же пойдет
 так а что собсна изменилось? оно итак уже ошибку логирует. как это поможет выявить проблему?![image]<link>уже все вводные же есть<link>	 🌚
 так а что собсна изменилось? оно итак уже ошибку логирует. как это поможет выявить проблему?![image]<link>уже все вводные же есть<link>	 это больше похоже на бота или то, что кто-то целенаправленно открывает неправильную ссылку. с интерфейса не смогли повторить. поэтому решили с андреем, что это скорее 404, попытка открыть несуществующую страницу.
 так а что собсна изменилось? оно итак уже ошибку логирует. как это поможет выявить проблему?![image]<link>уже все вводные же есть<link>	 ой 😬 я ж это в задаче и отписал. там даже в большинстве случаев <code>
 так а что собсна изменилось? оно итак уже ошибку логирует. как это поможет выявить проблему?![image]<link>уже все вводные же есть<link>	 но не во всех, бывают и авторизованные пользователи, с которыми даже пытались связаться, там же в задаче описано
 так а что собсна изменилось? оно итак уже ошибку логирует. как это поможет выявить проблему?![image]<link>уже все вводные же есть<link>	 у нас есть warning лог где-то?
 а почему колбэчная ф-ция перестала быть таковой?	 да переписали рендер виджета немного когда customclasses делали еще.
 а почему колбэчная ф-ция перестала быть таковой?	 <code>
 @kbubyakin @glebazarov @grishin	 вроде хотели в стабл сразу залить? @andrew_kuzmenko @kbubyakin
 @kbubyakin @glebazarov @grishin	 ну так давай зальем
 <code> точно нужно убирать?	 точно. нужно будет ещё проверить все места где он используется, потому что есть подозрение что он некорректно отрабатывает
 <code> точно нужно убирать?	 c костей посмотрели, поправили еще пару мест
 <code>	 а что за договорённость ставить пробелы в скобках? по дефолту <code> запрещается@andrew_kuzmenko
 <code>	 <link>
 <code>	 если рассматривать данный код, то я к примеру считаю что выделение как минимум логического отрицания, как минимум привносит удобочетаемость, так как при отсутствии его экранирования пробелами легче данный символ пропустить при код ревью или других процессах, что может привести к неприятным ситуациям.
 <code>	 ну, я считаю, что отделение отрицания от выражения, к которому оно применяется - не есть хорошо.<code>
 а зачем сюда подливать свежий стабл если задача уже в rc228	 закрываю руками
 ![image]<link>единственно нужные измененияяхз чо там за такое количество ченжей	 эти ченжи это мердж коммит из origin/stable
 ![image]<link>единственно нужные измененияяхз чо там за такое количество ченжей	 авто ок
 табы съехали	 <code>
 так, этот тест ты уже писал после того как я написал на jest, "нам не сказали" не прокатит)	 и сделайте этому prettier, сложно читать такое
 так, этот тест ты уже писал после того как я написал на jest, "нам не сказали" не прокатит)	 переписал
 так, этот тест ты уже писал после того как я написал на jest, "нам не сказали" не прокатит)	 добавил
 p.s. такие кейсы бессмысленны, они не тестируют никакой специальный кейс, не детектируют частичную поломку функционала, так что они явно не нужны.	 убрал
 а на вот это вы тесты не хотите написать?	 написал
 неа, выкидывай, тут уже jest	 у вас же везде chai
 неа, выкидывай, тут уже jest	 unit тесты уже переехали на jest
 неа, выкидывай, тут уже jest	 ок, в следующий раз, значит будут писать на jest
 предлагается придумать для этого модуля более конкретное название, просто <code> слишком общее, не катит. почему вообще media?	 постепенно вынесем lib/media сюда
 предлагается придумать для этого модуля более конкретное название, просто <code> слишком общее, не катит. почему вообще media?	 я понимаю, откуда <code> взялось и что оно означает?
 предлагается придумать для этого модуля более конкретное название, просто <code> слишком общее, не катит. почему вообще media?	 функционал оптимизации изображений.
 предлагается придумать для этого модуля более конкретное название, просто <code> слишком общее, не катит. почему вообще media?	 "функционал оптимизации изображений" != <code>
 предлагается придумать для этого модуля более конкретное название, просто <code> слишком общее, не катит. почему вообще media?	 это название сложилось исторически. было перенесено из public/js/share/mediahelper . теперь вот в modules переезжает)
 предлагается придумать для этого модуля более конкретное название, просто <code> слишком общее, не катит. почему вообще media?	 переименовал в mediaoptimization.
 @kopleman не нужно ставить лайки задаче, у которой стоит статус wip ![image]<link>	 @volgin @smatushenko @andrew_kuzmenko @zubov @glebazarov @grishin @kbubyakin
 @kopleman не нужно ставить лайки задаче, у которой стоит статус wip ![image]<link>	 @grishin пета, ты тоже забыл зайти
 хорошие у вас тесты 😂	 хорошие.
 напиши тесты	 написал
 и тут аналогично, вынести весь js в attrs	 сделал.
 а мы же можем всю эту хрень вынести в <code> ? чтобы она тут только вызывалась	 сделал.
 <code>	 <code>
 <code>	 <code>
 @craneandrey убери дизлайк, иначе бот не поставит ревью доне.	 убрал, ждал пока пройдет повторное ревью
 <code>эти свойства по дефолту у браузеров для <code>	 я бы не опирался на дефолтное поведение браузеров. вроде как и минус два правила, а с другой стороны - уточнить че ты хочешь от браузера лучше. мне так спокойней живется если я буду уверен что оно знает что я хочу конкретно, чем убрать лишних пару правил. @volgin есть ли какая-то весомая мотивация удалить эти две строки?
 <code>эти свойства по дефолту у браузеров для <code>	 таки нет. оставляем как есть, потому что не критично :small_blue_diamond:
 наверное, нужно обновить комментарий.	 там актуальный комментарий, за исключением цфорки "3". поправил
 @amovsunov @andrew_kuzmenko @volgin @smatushenko @grishin @kbubyakin нужен ваш обзор кода	 @kbubyakin исправил твои дискусии, нужно ли точно такой функционал покрывать юнит тестами?
 @amovsunov @andrew_kuzmenko @volgin @smatushenko @grishin @kbubyakin нужен ваш обзор кода	 @volgin @kbubyakin исправил имя конфига, что бы отражало истинную его сущность, если нет больше вопросов, то лайкайте
 @amovsunov @andrew_kuzmenko @volgin @smatushenko @grishin @kbubyakin нужен ваш обзор кода	 @kbubyakin посмотри тесты и метод, сделал всё максимально прозрачно,чисто и независимо =)
 @amovsunov @andrew_kuzmenko @volgin @smatushenko @grishin @kbubyakin нужен ваш обзор кода	 теперь гораздо пизже👍
 @amovsunov @andrew_kuzmenko @volgin @smatushenko @grishin @kbubyakin нужен ваш обзор кода	 @kbubyakin добавил отрицательный тест
 нужно добавить отрицательный тест. если флаг в конфиге выключен	 сделалъ
 ну вообще я все же за то, что бы написать unit тест на эту штуку. это не сложно, зато очень полезно будет.ну и лучше передать сюда список фич а ф-ию назвать что-то типа <code> уже ж вроде как не используется	 @kbubyakin написал тесты
 ну вообще я все же за то, что бы написать unit тест на эту штуку. это не сложно, зато очень полезно будет.ну и лучше передать сюда список фич а ф-ию назвать что-то типа <code> уже ж вроде как не используется	 <code> оставил на будущее для более гибкого функционала
 ну вообще я все же за то, что бы написать unit тест на эту штуку. это не сложно, зато очень полезно будет.ну и лучше передать сюда список фич а ф-ию назвать что-то типа <code> уже ж вроде как не используется	 про *просто у нас в lib/h лежит куча всего, а если оно еще и от e будет зависить то эт ваще пиздец. давайте хотя бы новый код не сваливать в кучу.ну и параметр featureset уже ж вроде как не используется* - про это не совсем понял, куда мне его тогда вынести.
 ну вообще я все же за то, что бы написать unit тест на эту штуку. это не сложно, зато очень полезно будет.ну и лучше передать сюда список фич а ф-ию назвать что-то типа <code> уже ж вроде как не используется	 я имел ввиду сделать чистую ф-ию и в нее параметром передавить конфиг/набор из вне. что бы не создавать новые ф-и в <code>
 ну вообще я все же за то, что бы написать unit тест на эту штуку. это не сложно, зато очень полезно будет.ну и лучше передать сюда список фич а ф-ию назвать что-то типа <code> уже ж вроде как не используется	 переписал на чистую фнукцию
 и папка <code> не нужна. пусть лежит рядом в папке	 убрал из папки тест
 ой, ну jest явно не нужно тестировать😅	 никогда нельзя быть уверенным о всём и на всякий случай нужно тестировать функционал тестирования=)по факту переписал тесты полностью
 по текущему дифу не понятно, что правилось и в каком объеме. возможно есть смысл уже хотя бы отформатировать этот код.	 логику переписывать  и оптимизировать не буду, только подправлю форматирование кода
 по текущему дифу не понятно, что правилось и в каком объеме. возможно есть смысл уже хотя бы отформатировать этот код.	 fixed
 а что, если нужно будет отрендерить другую услугу под флагами из биллинга, но не здесь? например, в блоке перед футером? придется ифами разруливать или фильтровать?в таблице сравнения такой подход выглядит хорошо. но при одиночных разрозненных рендерах услуг придется дописывать.можем мы в этой задаче вместо массива давать рендеру объект и , если есть необходимость, итерироваться по объекту?тогда сохраним возможность обращаться к отдельной услуге по ключу и получим похожее :jack_o_lantern: <code>	 тут не совсем правильно я изначально сделал, этот хэлпер нужен только для рендера это
 а что, если нужно будет отрендерить другую услугу под флагами из биллинга, но не здесь? например, в блоке перед футером? придется ифами разруливать или фильтровать?в таблице сравнения такой подход выглядит хорошо. но при одиночных разрозненных рендерах услуг придется дописывать.можем мы в этой задаче вместо массива давать рендеру объект и , если есть необходимость, итерироваться по объекту?тогда сохраним возможность обращаться к отдельной услуге по ключу и получим похожее :jack_o_lantern: <code>	 fixed
 зебра на таблице сохранилась? :horse:	 да
 ну вообще во <code> должен приходить уже готовый список	 и такое нужно покрывать unit тестами. как раз там и будут выраинты написания конфига
 ну вообще во <code> должен приходить уже готовый список	 исправил, но юнит тесты не писал
 это наверное стоит положить в <code> - там есть уже знания про tarifselection. да слишком общее название тут получается оно же относится именно к тарифу, точнее даже просто к выводу страницы выбора	 перенёс
 ![image]<link>😅	 ага, у нас свой неймспейс
 ![image]<link>	 мне норм
 у тебя там че-то ci упал	 короче ниче не делай с вылевкой моих флагов это пофиксится![image]<link>
 i hope not =) but of course we can protect ourselves by adding type guard for array and use an empty array if it's not array.	 but we still don't know what to return from function in this case. i think we have to filter such photo objects before calling this function
 i hope not =) but of course we can protect ourselves by adding type guard for array and use an empty array if it's not array.	 maybe yes, but let's just trust documentation and logic that photo every time has at least one size =)
 i think this is a more dangerous place because situation when the user doesn't have photos in the profile is quite real.	 <code> is already a photo and according to api reference (<link>
 i think this is a more dangerous place because situation when the user doesn't have photos in the profile is quite real.	 i think we should check it somewhere else but not in this function
 i think this is a more dangerous place because situation when the user doesn't have photos in the profile is quite real.	 can suggest to filter such broken objects in the model method. every one who will use it won't be required to filter them
 i think this is a more dangerous place because situation when the user doesn't have photos in the profile is quite real.	 omg, you're right, sorry =) somehow i've been thought it's a collection of user photos, ordered by sizes. in this context, it seems everything okay in code for now.
 @grishin тут 2 логера получается. вроде норм, а вроде и приходится в точках интеграции логеры прокидывать дургие, что бы не засирать старые	 -____________________-
 @grishin тут 2 логера получается. вроде норм, а вроде и приходится в точках интеграции логеры прокидывать дургие, что бы не засирать старые	 я бы писал в один лог (юсинков), только с mark screenshotservice: а вообще как удобнее руслану @root #неявный_контракт)
 еще не хватает дублированния введенных данных формы в другие виджеты в <code>. также нужно в этой вьюхе учесть, что в режим cash on delivery форма не обрабатываться foxi	 добавил
 в случае если прилетает новая страна, которой тут нет в списке, сервер тут же падает с ошибкой валидации. нужно предусмотреть этот момент, т.к. бизнес-логика не предусматривает зафиксированного списка стран.	 поправил
 зафиксирован дизайн формы? он меняется в зависимости от страны доставки?	 поправил
 @kbubyakin @grishin	 ну вообще бы найти именно в точке интеграции, где забыли передать в <code>. все равно ее в этот релиз не положат уже
 @kbubyakin @grishin	 а это больше на "залепипить" похоже
 @kbubyakin @grishin	 здесь можно посмотреть примерно где лежат эти точки. <link>
 возможно нужно пропихнуть этот флаг в <code>.	 в siteblank.js флага не должно быть.еще нужно проверять , что это не тпл.
 возможно нужно пропихнуть этот флаг в <code>.	 в самом <code> получаю этот флаг от сайта
 возможно нужно пропихнуть этот флаг в <code>.	 теперь проверяется в <code>
 возможно нужно пропихнуть этот флаг в <code>.	 задачу нужно доделывать в бою обнаружена ошибка: ![image]<link>
 техдолги если что обозначенны todoшками и положенны в ukit-13102, см там дабы понять финальную задумку. сейчас нужен фичефриз этой штуки в рабочем состоянии в микростартапе, далее над ней продолжится работа и приведение в порядок для копирования, никто эту задачу в небытие не оставляет.	 короче я заливаю, но ты если что-то ещё ревьювишь, поправлю если что в другой задаче.
